trainno, train_line
380, West Trenton (Outbound)
383, Glenside (Inbound)
383, Media/Elwyn (Outbound)
383, West Trenton (Inbound)
384, Glenside (Outbound)
384, Media/Elwyn (Inbound)
384, West Trenton (Outbound)
386, Glenside (Outbound)
386, Media/Elwyn (Inbound)
386, West Trenton (Outbound)
387, Glenside (Inbound)
387, Media/Elwyn (Outbound)
387, West Trenton (Inbound)
388, Glenside (Outbound)
388, Media/Elwyn (Inbound)
388, West Trenton (Outbound)
389, Glenside (Inbound)
389, Media/Elwyn (Outbound)
389, West Trenton (Inbound)
392, Glenside (Outbound)
392, Media/Elwyn (Inbound)
392, West Trenton (Outbound)
393, Glenside (Inbound)
393, Media/Elwyn (Outbound)
393, West Trenton (Inbound)
394, Glenside (Outbound)
394, Media/Elwyn (Inbound)
394, West Trenton (Outbound)
395, Glenside (Inbound)
395, Media/Elwyn (Outbound)
395, West Trenton (Inbound)
396, Glenside (Outbound)
396, Media/Elwyn (Inbound)
396, West Trenton (Outbound)
398, Glenside (Outbound)
398, Media/Elwyn (Inbound)
398, West Trenton (Outbound)
401, Airport (Outbound)
401, Glenside (Inbound)
401, Warminster (Inbound)
402, Airport (Inbound)
402, Glenside (Outbound)
402, Warminster (Outbound)
403, Airport (Outbound)
403, Glenside (Inbound)
403, Warminster (Inbound)
404, Airport (Inbound)
404, Glenside (Outbound)
404, Warminster (Outbound)
405, Airport (Outbound)
405, Glenside (Inbound)
405, Warminster (Inbound)
406, Airport (Inbound)
407, Airport (Outbound)
407, Glenside (Inbound)
407, Warminster (Inbound)
409, Airport (Outbound)
409, Glenside (Inbound)
409, Warminster (Inbound)
410, Airport (Inbound)
411, Airport (Outbound)
412, Airport (Inbound)
412, Glenside (Outbound)
412, Warminster (Outbound)
414, Airport (Inbound)
415, Airport (Outbound)
415, Glenside (Inbound)
415, Warminster (Inbound)
416, Airport (Inbound)
416, Glenside (Outbound)
416, Warminster (Outbound)
418, Airport (Inbound)
419, Airport (Outbound)
420, Airport (Inbound)
420, Glenside (Outbound)
420, Warminster (Outbound)
4211, Glenside (Inbound)
4211, Warminster (Inbound)
4211, Wilmington/Newark (Outbound)
4213, Glenside (Inbound)
4213, Warminster (Inbound)
4213, Wilmington/Newark (Outbound)
4215, Glenside (Inbound)
4215, Warminster (Inbound)
4215, Wilmington/Newark (Outbound)
422, Airport (Inbound)
4222, Airport (Inbound)
4222, Manayunk/Norristown (Outbound)
423, Airport (Outbound)
423, Glenside (Inbound)
423, Warminster (Inbound)
424, Airport (Inbound)
424, Glenside (Outbound)
424, Warminster (Outbound)
4249, Wilmington/Newark (Outbound)
426, Airport (Inbound)
4269, Glenside (Inbound)
4269, Warminster (Inbound)
4269, Wilmington/Newark (Outbound)
427, Airport (Outbound)
427, Glenside (Inbound)
427, Warminster (Inbound)
428, Airport (Inbound)
428, Glenside (Outbound)
428, Warminster (Outbound)
430, Airport (Inbound)
4304, Airport (Inbound)
4308, Airport (Inbound)
431, Airport (Outbound)
431, Glenside (Inbound)
431, Warminster (Inbound)
4311, Glenside (Inbound)
4311, Media/Elwyn (Outbound)
4311, Warminster (Inbound)
4312, Airport (Inbound)
4316, Airport (Inbound)
432, Airport (Inbound)
432, Glenside (Outbound)
432, Warminster (Outbound)
4320, Airport (Inbound)
4324, Airport (Inbound)
4328, Airport (Inbound)
4331, Glenside (Inbound)
4331, Media/Elwyn (Outbound)
4331, Warminster (Inbound)
4332, Airport (Inbound)
4336, Airport (Inbound)
434, Airport (Inbound)
4340, Airport (Inbound)
4344, Airport (Inbound)
4346, Airport (Inbound)
4346, Glenside (Outbound)
4346, West Trenton (Outbound)
4348, Airport (Inbound)
4348, Glenside (Outbound)
4348, West Trenton (Outbound)
435, Airport (Outbound)
435, Glenside (Inbound)
435, Warminster (Inbound)
4350, Airport (Inbound)
4350, Glenside (Outbound)
4350, West Trenton (Outbound)
4352, Airport (Inbound)
4352, Glenside (Outbound)
4352, West Trenton (Outbound)
4354, Airport (Inbound)
4354, Glenside (Outbound)
4354, West Trenton (Outbound)
4356, Airport (Inbound)
4356, Glenside (Outbound)
4356, West Trenton (Outbound)
436, Airport (Inbound)
436, Glenside (Outbound)
436, Warminster (Outbound)
4360, Airport (Inbound)
4364, Airport (Inbound)
4370, Airport (Inbound)
4374, Airport (Inbound)
438, Airport (Inbound)
438, Glenside (Outbound)
438, Warminster (Outbound)
4382, Airport (Inbound)
4382, West Trenton (Outbound)
439, Airport (Outbound)
439, Glenside (Inbound)
439, Warminster (Inbound)
440, Airport (Inbound)
440, Glenside (Outbound)
440, Warminster (Outbound)
442, Airport (Inbound)
442, Glenside (Outbound)
442, Warminster (Outbound)
443, Airport (Outbound)
443, Glenside (Inbound)
443, Warminster (Inbound)
446, Airport (Inbound)
447, Airport (Outbound)
447, Glenside (Inbound)
447, Warminster (Inbound)
450, Airport (Inbound)
450, Glenside (Outbound)
450, Warminster (Outbound)
451, Airport (Outbound)
451, Glenside (Inbound)
451, Warminster (Inbound)
4520, Airport (Inbound)
4520, Glenside (Outbound)
4520, Lansdale/Doylestown (Outbound)
454, Airport (Inbound)
454, Glenside (Outbound)
454, Warminster (Outbound)
455, Airport (Outbound)
455, Glenside (Inbound)
455, Warminster (Inbound)
