trainno, train_line
9214, Wilmington/Newark (Inbound)
9216, Wilmington/Newark (Inbound)
9218, Wilmington/Newark (Inbound)
9229, Wilmington/Newark (Outbound)
9230, Wilmington/Newark (Inbound)
9236, Wilmington/Newark (Inbound)
9240, Wilmington/Newark (Inbound)
9242, Wilmington/Newark (Inbound)
9243, Wilmington/Newark (Outbound)
9245, Wilmington/Newark (Outbound)
9251, Wilmington/Newark (Outbound)
9254, Wilmington/Newark (Inbound)
9260, Wilmington/Newark (Inbound)
9261, Wilmington/Newark (Outbound)
9264, Wilmington/Newark (Inbound)
9266, Wilmington/Newark (Inbound)
9268, Wilmington/Newark (Inbound)
9294, Wilmington/Newark (Inbound)
9334, Media/Elwyn (Inbound)
9339, Media/Elwyn (Outbound)
9340, Media/Elwyn (Inbound)
9341, Media/Elwyn (Outbound)
9343, Media/Elwyn (Outbound)
9345, Media/Elwyn (Outbound)
9346, Media/Elwyn (Inbound)
9348, Media/Elwyn (Inbound)
9350, Media/Elwyn (Inbound)
9351, Media/Elwyn (Outbound)
9352, Media/Elwyn (Inbound)
9354, Media/Elwyn (Inbound)
9355, Media/Elwyn (Outbound)
9357, Media/Elwyn (Outbound)
9359, Media/Elwyn (Outbound)
9361, Media/Elwyn (Outbound)
9365, Media/Elwyn (Outbound)
9404, Airport (Inbound)
9410, Airport (Inbound)
9417, Airport (Outbound)
9419, Airport (Outbound)
9452, Airport (Inbound)
9460, Airport (Inbound)
9464, Airport (Inbound)
9467, Airport (Outbound)
9468, Airport (Inbound)
9471, Airport (Outbound)
9472, Airport (Inbound)
9475, Airport (Outbound)
9506, Paoli/Thorndale (Inbound)
9508, Paoli/Thorndale (Inbound)
9510, Paoli/Thorndale (Inbound)
9524, Paoli/Thorndale (Inbound)
9526, Paoli/Thorndale (Inbound)
9530, Paoli/Thorndale (Inbound)
9532, Paoli/Thorndale (Inbound)
9535, Paoli/Thorndale (Outbound)
9536, Paoli/Thorndale (Inbound)
9538, Paoli/Thorndale (Inbound)
9542, Paoli/Thorndale (Inbound)
9543, Paoli/Thorndale (Outbound)
9547, Paoli/Thorndale (Outbound)
9559, Paoli/Thorndale (Outbound)
9561, Paoli/Thorndale (Outbound)
9563, Paoli/Thorndale (Outbound)
9569, Paoli/Thorndale (Outbound)
9571, Paoli/Thorndale (Outbound)
9597, Paoli/Thorndale (Outbound)
9700, Trenton (Inbound)
9701, Trenton (Outbound)
9703, Trenton (Outbound)
9724, Trenton (Inbound)
9728, Trenton (Inbound)
9730, Trenton (Inbound)
9739, Trenton (Outbound)
9741, Trenton (Outbound)
9745, Trenton (Outbound)
9747, Trenton (Outbound)
9756, Trenton (Inbound)
9784, Trenton (Inbound)
9820, Chestnut Hill West (Inbound)
9837, Chestnut Hill West (Outbound)
